County,Percent of Adults Without a High School Education,Percent of Residents Aged 65 and Older,Percent of Residents Below the Poverty Line,Percent of Residents Who Are Food Insecure,Percent of Residents Who Are Non-White,Percent of Residents Who Are Uninsured,Percent of Residents Whose Primary Language Is Not English,Percent of Residents With a Disability,"Percent of Workforce (Age 16+) Who Are Unemployed, 2018-2022",Overall Cancer Incidence,Cancer Incidence Among Female Residents,Cancer Incidence Among Male Residents,Cancer Incidence Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Incidence Among Black (Non-Hispanic) Residents,Cancer Incidence Among White (Non-Hispanic) Residents,Liver Cancer Incidence,Melanoma Incidence,Oral Cancer Incidence,Ovarian Cancer Incidence,Pancreatic Cancer Incidence,Uterine Cancer Incidence,Overall Cancer Mortality,Cancer Mortality Among Female Residents,Cancer Mortality Among Male Residents,Cancer Mortality Among Adolescent and Young Adult Residents (Ages 15-39),Cancer Mortality Among Black (Non-Hispanic) Residents,Cancer Mortality Among White (Non-Hispanic) Residents,Liver Cancer Mortality,Melanoma Mortality,Oral Cancer Mortality,Ovarian Cancer Mortality,Pancreatic Cancer Mortality,Uterine Cancer Mortality
Montmorency,0.1235855054,0.319,0.185286701,0.167,0.053233992,0.065,0.0112082493,0.24,0.062,456.758979176512,438.478343282683,477.902286161025,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,214.105205157415,215.51243473797,214.052820737645,0,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Muskegon,0.0872693632,0.176,0.1292081192,0.118,0.2471937572,0.049,0.0347079307,0.143,0.075,365.586677631525,333.223305863561,410.044958425994,55.4574165515113,350.117044323027,366.053122350154,6.14427501720454,18.1340805911554,11.3279200711754,9.9025047760401,13.1819967479256,28.2365088980115,176.51774784331,148.362442622853,214.304112953344,12.2674793919781,181.442593894603,176.436033080513,6.20555176093543,3.06161264985662,3.48706307385302,4.21098666570083,14.1108792938846,Suppressed
Newaygo,0.1126738913,0.198,0.1521888377,0.131,0.1129064432,0.075,0.0488664668,0.186,0.047,449.688880782558,455.589797576468,448.678798363628,84.0015801592956,,,8.46680979012553,26.3575565112251,17.0822901448775,Suppressed,12.171620202392,38.0512580224852,165.458837933314,142.71563771324,192.386054767742,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,12.6525000725761,Suppressed
Oakland,0.0570632431,0.175,0.0769979162,0.086,0.3010719473,0.041,0.1570176399,0.114,0.048,445.412937166629,415.749525875549,489.888399903059,77.2262804385304,422.321629281526,453.988978662739,6.13771382451681,24.0562351181684,11.5117531463561,11.1115198177632,13.8835180381924,26.6568890208045,139.587159279475,123.831708920024,162.527229720294,6.57753484280215,156.712888458822,141.268709314989,3.90452576849841,1.91677626605289,2.10207632207283,7.4265353578464,11.7672030611805,3.49577766125756
Oceana,0.1100622904,0.213,0.1392771451,0.124,0.1946306212,0.089,0.1171551418,0.169,0.05,351.862527962057,330.543087119108,378.270661495966,71.8684267545262,,,Suppressed,15.3997743919916,Suppressed,Suppressed,10.7475653364644,33.5814071707533,153.842714453811,123.013563271422,189.000332791766,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.4256290473009,Suppressed
Ogemaw,0.1275809479,0.265,0.1706910908,0.16,0.0630643612,0.05,0.0205086961,0.224,0.071,491.861606156425,437.566097575915,553.147475464485,93.2007038743297,,,Suppressed,20.3693069946745,Suppressed,Suppressed,22.3694854487522,24.3955721846733,190.677980268119,153.91181420517,231.662622641468,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,17.6017305292048,Suppressed
Ontonagon,0.0725028924,0.371,0.1368257798,0.137,0.061241897,0.04,0.0189141856,0.201,0.063,332.500507856027,337.023350346,324.399601050008,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,163.072525992732,161.202533902992,171.825198740333,0,,,Suppressed,Suppressed,Suppressed,0,Suppressed,0
Osceola,0.1145465748,0.213,0.1567770419,0.131,0.074841456,0.091,0.0405548156,0.196,0.077,438.728339247748,409.096649473254,477.194204800292,78.7081500183376,,,Suppressed,15.5325678654352,Suppressed,Suppressed,17.5722474608379,Suppressed,170.348116386348,135.627132826808,213.420905523417,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,12.3113449798057,Suppressed
Oscoda,0.1669175196,0.283,0.1389871873,0.151,0.0589303001,0.149,0.0713829651,0.23,0.089,468.054094407386,494.878616830995,442.84853014644,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,194.614756464551,146.115950675552,248.752465537931,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,0
Otsego,0.0715001503,0.217,0.1066575541,0.127,0.0603465366,0.075,0.0163311336,0.167,0.048,411.58673481581,392.643230132061,434.653488538948,84.5901035781386,,,Suppressed,21.2823221008156,12.4849747364247,Suppressed,Suppressed,39.2547952619302,161.633096007948,145.463843046994,182.303105577791,Suppressed,,,Suppressed,Suppressed,Suppressed,Suppressed,13.233020867852,Suppressed
